Price,Close,Volume,SMA_50,EMA_50,RSI_14,Volatility
Ticker,AAPL,AAPL,,,,
Date,,,,,,
2023-04-24,162.8190155029297,41949600,154.47610076904297,155.2609223202743,47.79168876322026,6.591459703184673
2023-04-25,161.28274536132812,48714100,154.72742523193358,155.49707224345286,45.35930632173466,6.606921503844993
2023-04-26,161.27288818359375,45498800,154.9226153564453,155.72357482934075,50.0,6.654026290701592
2023-04-27,165.8522491455078,64902300,155.22219512939452,156.12077774370024,58.54988356450865,6.803509667459951
2023-04-28,167.1029510498047,55275900,155.50483612060546,156.55145120668473,68.59498342874359,6.998817958006571
2023-05-01,167.01431274414062,52472900,155.81761169433594,156.96175950227126,72.61969885695785,7.158147457725617
2023-05-02,165.9803009033203,48425700,156.13255462646484,157.31542779250847,71.33478509489977,7.253217880263466
2023-05-03,164.9068603515625,65136000,156.5061932373047,157.61313103011844,56.13246769699779,7.2135026904335975
2023-05-04,163.27203369140625,81235400,156.83866485595703,157.8350487815415,51.73437937278407,7.132522685397638
2023-05-05,170.93389892578125,113453200,157.31472381591797,158.34872917935482,67.03437686318244,7.264500516743938
2023-05-08,170.86495971679688,55962800,157.84238616943358,158.8395617494506,65.07936824459284,7.271526915537403
2023-05-09,169.1612548828125,45326900,158.3121417236328,159.2443340291903,58.66840121201897,7.2278952383258215
2023-05-10,170.92404174804688,53724500,158.82719848632811,159.70236178287095,63.99354630606976,7.189834949711107
2023-05-11,171.1111297607422,49514700,159.38735931396485,160.14976444866983,68.7742742062318,7.029022814837168
2023-05-12,170.18417358398438,45533100,159.9171630859375,160.5432706892704,65.65825712626638,6.817153519880131
2023-05-15,169.69107055664062,37266700,160.33626068115234,160.90200793897122,68.70571781606854,6.759631842629447
2023-05-16,169.69107055664062,42110300,160.7002081298828,161.2466770612328,68.73586389674888,6.763704421599499
2023-05-17,170.30250549316406,57951600,161.12030700683593,161.6018075879752,62.029347033455096,6.692970409347817
2023-05-18,172.6298828125,65496700,161.5619387817383,162.03428112619187,64.11791897961746,6.709645415559028
2023-05-19,172.7383270263672,55809500,162.05064758300782,162.4540476320811,64.60656438578908,6.613398772624761
2023-05-22,171.79161071777344,43570900,162.5615869140625,162.82022657661807,64.89568910895736,6.348901225368981
2023-05-23,169.18809509277344,50747300,162.98165405273437,163.06994691058495,60.175604661030775,6.066826494791435
2023-05-24,169.46424865722656,45143500,163.36548828125,163.32070384182578,65.73378421445648,5.849557368318634
2023-05-25,170.59837341308594,56058300,163.7641259765625,163.60610264854185,48.72427104932463,5.641958669669102
2023-05-26,173.0045928955078,54835000,164.1545571899414,163.9746708935209,56.90755736223851,5.591204275827013
2023-05-30,174.84877014160156,55964400,164.59861389160156,164.40110615815152,68.19644152575222,5.539975663075832
2023-05-31,174.7994384765625,99625300,164.99441345214845,164.80888389612844,63.92560669364302,5.5478388527927756
2023-06-01,177.6001739501953,68901800,165.40919830322267,165.31050311393497,69.63011379267687,5.700513089405326
2023-06-02,178.44827270507812,61996900,165.86950469970702,165.82570976456805,75.11970909900467,5.806742235766844
2023-06-05,177.09725952148438,121946500,166.28112548828125,166.26773132366282,71.39608941207172,5.859409798166493
2023-06-06,176.73236083984375,64848400,166.65944915771485,166.67810895174836,69.92189388758798,5.912142485570038
2023-06-07,175.36160278320312,61944600,167.04915924072264,167.0186381216093,63.72400410288336,5.82845087664764
2023-06-08,178.07354736328125,50214900,167.50551666259764,167.4521639742239,64.4654190055582,5.779289076950956
2023-06-09,178.45816040039062,48900000,167.90811431884765,167.88377167721083,64.97942429587455,5.827877013404521
2023-06-12,181.2490234375,54274900,168.33521209716798,168.40789919722218,72.58600194885034,6.008291434262167
2023-06-13,180.77569580078125,54929100,168.70281463623047,168.8929108287343,80.80783002173654,6.196787224704088
2023-06-14,181.40679931640625,57462900,169.05802459716796,169.38365155374106,81.16335350456183,6.406505967730284
2023-06-15,183.43832397460938,65433200,169.46450134277345,169.93481517808885,82.00608416041553,6.6613855535515265
2023-06-16,182.3634033203125,101256200,169.88631164550782,170.4222107915094,74.9870652392666,6.798426838828196
2023-06-20,182.45216369628906,49799100,170.29217041015625,170.89397365052037,72.39995684501065,6.932132334905715
2023-06-21,181.4166717529297,49515700,170.72912048339845,171.30662847806585,68.42413835001983,6.93099215412005
2023-06-22,184.41465759277344,51245300,171.25025726318358,171.82066883550536,68.76719789280114,6.961350441339702
2023-06-23,184.0990753173828,53117000,171.77886932373048,172.30217497204958,66.03265834117654,6.912300932949852
2023-06-26,182.70858764648438,48088700,172.17213012695314,172.71026958673332,65.88507784787052,6.9644438582920625
2023-06-27,185.4600067138672,50730800,172.6273129272461,173.2102592779935,71.76602479456464,7.075646215093548
2023-06-28,186.63356018066406,51216800,173.10557373046876,173.73666323496096,78.39058319299181,7.199443636823058
2023-06-29,186.96881103515625,46347300,173.56611541748046,174.25557099183138,75.45156710331688,7.336483850190937
2023-06-30,191.2882843017578,85213200,174.09019897460936,174.92352053339712,79.96328154120599,7.6475598134811245
2023-07-03,189.79917907714844,31458200,174.60380279541016,175.50687969197563,71.26059628303904,7.824517913039882
2023-07-05,188.68478393554688,46920300,175.12722412109375,176.02366025054704,69.05891264220736,7.874443711964938
